t, Ue, U1, U2, U3, U4, U5
9.409409409409409675e-03, -1.450484855126665806e-01, -1.390080660012493197e-01, 2.941504056182752347e+00, 2.771292567234761250e+00, 2.709838503120552744e+00, -2.910020477148354434e+00
9.609609609609610914e-03, -9.713487415143459702e-02, -9.993356188558870368e-02, 2.980902688301947823e+00, 2.810380196359176797e+00, 2.661633586746714020e+00, -2.936532780731345937e+00
9.809809809809810419e-03, -4.768632349446935009e-02, -5.923210503233726498e-02, 3.020165566020275527e+00, 2.849562049669319030e+00, 2.640933572763021875e+00, -2.935445919871300102e+00
1.001001001001000992e-02, 2.515773326427165908e-03, -1.754906412471299304e-02, 3.058679458604031787e+00, 2.888221863824338431e+00, 2.647734420833717017e+00, -2.906968063516193634e+00
1.021021021021021116e-02, 5.267811553424958659e-02, 2.445481737066995676e-02, 3.095842606825566001e+00, 2.925757288789976762e+00, 2.681606038507617917e+00, -2.851730324655615600e+00
1.041041041041041067e-02, 1.020080305601243770e-01, 6.611377118062838898e-02, 3.131074223433946369e+00, 2.961589214332361220e+00, 2.741691971545028750e+00, -2.770783944733701265e+00
1.061061061061061191e-02, 1.497259999696078370e-01, 1.067675403860436634e-01, 3.163823769324363600e+00, 2.995171011236680947e+00, 2.826714189539167865e+00, -2.665592388867477958e+00
1.081081081081081141e-02, 1.950779775254538329e-01, 1.457718243216625520e-01, 3.193579533090104672e+00, 3.025997133798037808e+00, 2.934987473195776353e+00, -2.538014016887357727e+00
1.101101101101101092e-02, 2.373473047350481979e-01, 1.825084401297843162e-01, 3.219876872416460589e+00, 3.053611560069123154e+00, 3.064448225422793382e+00, -2.390270380757721469e+00
1.121121121121121215e-02, 2.758660355913049034e-01, 2.163949796103840917e-01, 3.242305315765685592e+00, 3.077615036071019272e+00, 3.212675377628348539e+00, -2.224922785705114148e+00
1.141141141141141166e-02, 3.100254915518407817e-01, 2.468942317495574357e-01, 3.260515330540229240e+00, 3.097672074899104899e+00, 3.376918639810160272e+00, -2.044841582767753962e+00
1.161161161161161290e-02, 3.392858799651211066e-01, 2.735223856016386623e-01, 3.274223574799530745e+00, 3.113516710949702837e+00, 3.554152948040068871e+00, -1.853149656672176793e+00
1.181181181181181240e-02, 3.631848239518185029e-01, 2.958569016089332426e-01, 3.283217568202710712e+00, 3.124957382316915666e+00, 3.741099733482124101e+00, -1.653199365385269903e+00
1.201201201201201191e-02, 3.813446689509717991e-01, 3.135430303823630860e-01, 3.287358917279315840e+00, 3.131880823035766870e+00, 3.934296056149864995e+00, -1.448501934731829976e+00
1.221221221221221315e-02, 3.934784504718440989e-01, 3.262994414491062201e-01, 3.286585505341735214e+00, 3.134254438333589299e+00, 4.130127452247958963e+00, -1.242693630389805293e+00
1.241241241241241265e-02, 3.993944287482090183e-01, 3.339227773892369799e-01, 3.280912586039458123e+00, 3.132128002090188268e+00, 4.324906663619120906e+00, -1.039456268966864716e+00
1.261261261261261389e-02, 3.989991186377999099e-01, 3.362907482978831908e-01, 3.270432439429669547e+00, 3.125632984873069731e+00, 4.514930627297779608e+00, -8.424602506163855198e-01
1.281281281281281340e-02, 3.922987668880157930e-01, 3.333642526276985874e-01, 3.255313081102548800e+00, 3.114981066994298331e+00, 4.696586938382199428e+00, -6.552583873880508669e-01
1.301301301301301290e-02, 3.793992534239181147e-01, 3.251879672303676916e-01, 3.235795641578855353e+00, 3.100459283161499879e+00, 4.866461462761544787e+00, -4.811797067142177253e-01
1.321321321321321414e-02, 3.605044182183776980e-01, 3.118899656522171604e-01, 3.212190896945211538e+00, 3.082423340924266508e+00, 5.021493834510344811e+00, -3.231759814532640940e-01
1.341341341341341364e-02, 3.359128401834157729e-01, 2.936797947528291819e-01, 3.184874605554084415e+00, 3.061285961441970294e+00, 5.159170148126601241e+00, -1.836327402077254090e-01
1.361361361361361488e-02, 3.060131189831555854e-01, 2.708456290423588153e-01, 3.154282116188975582e+00, 3.037502076177887922e+00, 5.277755525813210724e+00, -6.414145662203341036e-02
1.381381381381381439e-02, 2.712777343258662710e-01, 2.437498137410135934e-01, 3.120901866131828406e+00, 3.011547756302715317e+00, 5.376501213682006508e+00, 3.470065874832639619e-02
1.401401401401401389e-02, 2.322555797714421777e-01, 2.128235772970224482e-01, 3.085268340350102445e+00, 2.983896354022627762e+00, 5.455786516813438958e+00, 1.134247422593622767e-01
1.421421421421421513e-02, 1.895632890361768075e-01, 1.785598523709503449e-01, 3.047953525884602222e+00, 2.954993309064199103e+00, 5.517090129320409098e+00, 1.736532516779472624e-01
1.441441441441441464e-02, 1.438754918578140918e-01, 1.415053321564141986e-01, 3.009557991394401277e+00, 2.925234683152998283e+00, 5.562785524014387306e+00, 2.178881731846942227e-01
1.461461461461461588e-02, 9.591415339909376003e-02, 1.022509511083267986e-01, 2.970700538798941803e+00, 2.894949946301401233e+00, 5.595708291956321467e+00, 2.490725308041104591e-01
1.481481481481481538e-02, 4.643716565009171210e-02, 6.142185648771561479e-02, 2.932007821239901446e+00, 2.864401136238050150e+00, 5.618742119798238122e+00, 2.701759186994424633e-01
1.501501501501501488e-02, -3.773628890358800368e-03, 1.966719520198745991e-02, 2.894103886287086258e+00, 2.833792017266768326e+00, 5.634507469496858434e+00, 2.838861071835386274e-01
1.521521521521521612e-02, -5.392479200263421840e-02, -2.235093533409476807e-02, 2.857599166646637823e+00, 2.803229657501781436e+00, 5.644904459277158004e+00, 2.921386857416539140e-01
1.541541541541541563e-02, -1.032238277715403357e-01, -6.396769778511575411e-02, 2.823081042382848516e+00, 2.772862914397701051e+00, 5.651047392984967388e+00, 2.960980562542637751e-01
1.561561561561561687e-02, -1.508917057211086044e-01, -1.045252238985357601e-01, 2.791104857338054579e+00, 2.742769254880913277e+00, 5.654094582463068619e+00, 2.969490482743010751e-01
1.581581581581581811e-02, -1.961751711665685738e-01, -1.433837055941855620e-01, 2.762184420529947726e+00, 2.712990182833332042e+00, 5.654499732049080407e+00, 2.951600407593784059e-01
1.601601601601601588e-02, -2.383586482535591800e-01, -1.799325472288026972e-01, 2.736782498321665535e+00, 2.683581059242049704e+00, 5.651197697250792018e+00, 2.896853046141921739e-01
1.621621621621621712e-02, -2.767755475910189111e-01, -2.136015178605680798e-01, 2.715301306591885844e+00, 2.654660922348984986e+00, 5.640790243421492711e+00, 2.771673452329260212e-01
1.641641641641641836e-02, -3.108187997929155455e-01, -2.438719035136376334e-01, 2.698073002904919360e+00, 2.626462307800538021e+00, 5.616731804435301179e+00, 2.511392450416546906e-01
1.661661661661661613e-02, -3.399504484762745360e-01, -2.702904094565097837e-01, 2.685347327952918306e+00, 2.599389765683116860e+00, 5.566575532198622334e+00, 1.992901852759939585e-01
1.681681681681681736e-02, -3.637101511255556030e-01, -2.925028420220782133e-01, 2.677256176297463153e+00, 2.574347710835274139e+00, 5.455417076814601529e+00, 8.701827114308968714e-02
1.701701701701701860e-02, -3.817224534914995804e-01, -3.102568768734905724e-01, 2.673806175022627407e+00, 2.553254348781106131e+00, 5.228871962878160140e+00, -1.394205472890389097e-01
1.721721721721721637e-02, -3.937027225733474300e-01, -3.233221472480853342e-01, 2.674961446735456772e+00, 2.539089041591942930e+00, 4.858714436665806602e+00, -5.072553707429359182e-01
1.741741741741741761e-02, -3.994616444305826297e-01, -3.313372747224097026e-01, 2.680827847506530137e+00, 2.534204959302669646e+00, 4.431680449846441938e+00, -9.289532350499241087e-01
1.761761761761761885e-02, -3.989082157491330438e-01, -3.339743388862507212e-01, 2.691524462532588924e+00, 2.538296915869142190e+00, 4.065144846672628098e+00, -1.287216980496504792e+00
1.781781781781782009e-02, -3.920511818888705591e-01, -3.311760292406220607e-01, 2.706930831419691152e+00, 2.549507309172591274e+00, 3.776906507251374556e+00, -1.564840916307435714e+00
1.801801801801801786e-02, -3.789988986881718813e-01, -3.230554134197122229e-01, 2.726759459600271995e+00, 2.566313511025162253e+00, 3.536647966089627726e+00, -1.792629573820975875e+00
1.821821821821821910e-02, -3.599576202093270894e-01, -3.097876204417846502e-01, 2.750662767522936925e+00, 2.587822948365323228e+00, 3.323966514903450520e+00, -1.991267762166035293e+00
1.841841841841842034e-02, -3.352282394820904621e-01, -2.916014794157734125e-01, 2.778250061689985007e+00, 2.613442023370600609e+00, 3.132378322104643065e+00, -2.167424549239834075e+00
1.861861861861861811e-02, -3.052015337486109203e-01, -2.687913747130564746e-01, 2.809082215264504523e+00, 2.642649536190257553e+00, 2.961439074293663154e+00, -2.321706964173849919e+00
1.881881881881881935e-02, -2.703519893450713751e-01, -2.417205279981815280e-01, 2.842672112225974601e+00, 2.674917647948526156e+00, 2.812570618017453672e+00, -2.452859375894726135e+00
1.901901901901902059e-02, -2.312303038001481958e-01, -2.108184355024164403e-01, 2.878489779885655242e+00, 2.709689969444283530e+00, 2.687392928229747735e+00, -2.559438801585997236e+00
