t, x, y, phi, u, v, omega, La, x_dot, y_dot, phi_dot, u_dot, v_dot, omega_dot, la
1.147224767250233946e+01, 1.757673004198221278e+01, 7.982336490287636366e+01, 4.394317137696347686e+00, 4.433397185472003343e+00, 1.346510160072520712e+01, 3.830389007577845728e-01, -4.898078163766633963e+01, 4.433397185472003343e+00, 1.346510160072520712e+01, 3.830389007577845728e-01, -4.600123217121900865e+00, 3.396853098838052532e+00, 7.392310473816176037e-22, 1.357715743828391730e+01
1.200394088098824774e+01, 1.922823875424655071e+01, 8.736861131462737262e+01, 4.597976319815169965e+00, 1.692724225800182891e+00, 1.473028257614513237e+01, 3.830389007577845728e-01, -4.157164428238875331e+01, 1.692724225800182891e+00, 1.473028257614513237e+01, 3.830389007577845728e-01, -5.568578154374131728e+00, 1.296857667087857990e+00, 7.071255853785398974e-22, 1.419953452019340823e+01
1.226664352639433631e+01, 1.947845048429432424e+01, 9.127002885245798325e+01, 4.698601652337680790e+00, 2.057470738501454288e-01, 1.492196425487396638e+01, 3.830389007577845728e-01, -3.782640190256264390e+01, 2.057470738501454288e-01, 1.492196425487396638e+01, 3.830389007577845728e-01, -5.714640321226004183e+00, 1.576185149198886526e-01, 0.000000000000000000e+00, 1.429063234214837586e+01
1.246631619100336508e+01, 1.940567617047899773e+01, 9.424687144408166262e+01, 4.775084050300900884e+00, -9.332616419783753559e-01, 1.486621349558455485e+01, 3.830389007577845728e-01, -3.497423871531185569e+01, -9.332616419783753559e-01, 1.486621349558455485e+01, 3.830389007577845728e-01, -5.671892202269608774e+00, -7.149493707146246102e-01, 0.000000000000000000e+00, 1.426386303694019020e+01
1.258871101724217212e+01, 1.924916431467161360e+01, 9.605974059166933898e+01, 4.821966030001853198e+00, -1.622355992906712396e+00, 1.474631325656160286e+01, 3.830389007577845728e-01, -3.323162335167869230e+01, -1.622355992906712396e+00, 1.474631325656160286e+01, 3.830389007577845728e-01, -5.580032576598588534e+00, -1.242849586814340990e+00, 0.000000000000000000e+00, 1.420621708158901519e+01
1.280408525765382777e+01, 1.877220901542431619e+01, 9.919984842754000454e+01, 4.904462742300676581e+00, -2.796676084637799153e+00, 1.438092836676686304e+01, 3.830389007577845728e-01, -3.018931317498860523e+01, -2.796676084637799153e+00, 1.438092836676686304e+01, 3.830389007577845728e-01, -5.300082293465617767e+00, -2.142461379810691735e+00, 0.000000000000000000e+00, 1.402906433193078328e+01
1.308913364514317834e+01, 1.776687131592345636e+01, 1.031967774163890113e+02, 5.013647363307376814e+00, -4.229077558934729808e+00, 1.361076116725440954e+01, 3.830389007577845728e-01, -2.624068567218973413e+01, -4.229077558934729808e+00, 1.361076116725440954e+01, 3.830389007577845728e-01, -4.709961213605390995e+00, -3.239746101867110983e+00, 0.000000000000000000e+00, 1.364808089460974294e+01
1.330993785993946688e+01, 1.672297396738593989e+01, 1.061168368633035044e+02, 5.098223967025632852e+00, -5.203779947360618330e+00, 1.281105497118219461e+01, 3.830389007577845728e-01, -2.327025212354898898e+01, -5.203779947360618330e+00, 1.281105497118219461e+01, 3.830389007577845728e-01, -4.097357911159109634e+00, -3.986448025635643155e+00, 0.000000000000000000e+00, 1.324109664531287045e+01
1.369423713735530690e+01, 1.445153792689578509e+01, 1.107182968797644378e+02, 5.245425539809007276e+00, -6.531901496264945983e+00, 1.107095797727514608e+01, 3.830389007577845728e-01, -1.835185590695843416e+01, -6.531901496264945983e+00, 1.107095797727514608e+01, 3.830389007577845728e-01, -2.763686917673159105e+00, -5.003503822093993136e+00, 1.846677236449931770e-22, 1.230811159369572927e+01
1.402443007090082361e+01, 1.216777972530247354e+01, 1.140898507403996973e+02, 5.371902278112270501e+00, -7.227134054958190390e+00, 9.321421294576399674e+00, 3.830389007577845728e-01, -1.444971752064210335e+01, -7.227134054958190390e+00, 9.321421294576399674e+00, 3.830389007577845728e-01, -1.423620324295591599e+00, -5.536132675759788846e+00, 0.000000000000000000e+00, 1.129394660174228271e+01
1.448907959922732047e+01, 8.728044188091006461e+00, 1.178115342512095367e+02, 5.549881122680074164e+00, -7.421933516079207926e+00, 6.686315123436821217e+00, 3.830389007577845728e-01, -9.590406457698085418e+00, -7.421933516079207926e+00, 6.686315123436821217e+00, 3.830389007577845728e-01, 5.960857188541111018e-01, -5.684070833298320302e+00, 2.791289165709424310e-21, 9.563125375231594560e+00
1.476750965172919194e+01, 6.700146981366255972e+00, 1.194552839644699560e+02, 5.656530663928323932e+00, -7.089451202286657150e+00, 5.132786939469123233e+00, 3.830389007577845728e-01, -7.089493252239472021e+00, -7.089451202286657150e+00, 5.132786939469123233e+00, 3.830389007577845728e-01, 1.784984068732980766e+00, -5.430639832526713562e+00, 0.000000000000000000e+00, 8.380675007970937784e+00
1.518433262815393014e+01, 3.948787304637373374e+00, 1.211433595757077200e+02, 5.816190078628643789e+00, -5.999763556849495139e+00, 3.025030603537658624e+00, 3.830389007577845728e-01, -3.995165030471383716e+00, -5.999763556849495139e+00, 3.025030603537658624e+00, 3.830389007577845728e-01, 3.400286782626324111e+00, -4.594468020116333484e+00, 2.421418072878483514e-22, 6.431765946753585261e+00
1.543311795456324553e+01, 2.570036843369261081e+00, 1.217608023983146381e+02, 5.911484536581133931e+00, -5.050522141899573825e+00, 1.968800110155255911e+00, 3.830389007577845728e-01, -2.547985399845495103e+00, -5.050522141899573825e+00, 1.968800110155255911e+00, 3.830389007577845728e-01, 4.208691154213104468e+00, -3.868672070183273082e+00, 0.000000000000000000e+00, 5.190278131547073848e+00
1.578144492841056845e+01, 1.085410468825756647e+00, 1.222358853188905243e+02, 6.044907317747898468e+00, -3.423164338872545898e+00, 8.314604476316130865e-01, 3.830389007577845728e-01, -1.054203730362481606e+00, -3.423164338872545898e+00, 8.314604476316130865e-01, 3.830389007577845728e-01, 5.080123991619771573e+00, -2.621138946581295759e+00, 0.000000000000000000e+00, 3.371687979352366415e+00
1.614575326486205498e+01, 1.893658351690793440e-01, 1.223971341670363842e+02, 6.184451582479172593e+00, -1.464023329945484120e+00, 1.450201391528524175e-01, 3.830389007577845728e-01, -1.817029854684066303e-01, -1.464023329945484120e+00, 1.450201391528524175e-01, 3.830389007577845728e-01, 5.605833242848423659e+00, -1.120021752228168799e+00, 0.000000000000000000e+00, 1.406879219912899215e+00
1.640351748803908194e+01, 6.393829316508897612e-05, 1.224096107142977701e+02, 6.283185307179585344e+00, -1.946505667094420281e-07, 9.946441589981701610e-08, 3.830389007577845728e-01, 1.454105149042244370e-05, -1.946505667094413928e-07, 9.946441589981648671e-08, 3.830389007577845728e-01, 5.716780134904867694e+00, 5.505826932315949392e-04, 0.000000000000000000e+00, -6.883015396573716280e-04
