t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
2.702702702702702853e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -9.560891249677129335e-12, 1.000000000000000000e+00, -9.710746804060067410e-11, -9.050557968501031780e-01, 4.191395942860785258e-11, 4.246212935957378587e-01, -2.494351937289017565e-11, 9.997145784607189833e-01
2.802802802802802917e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -3.281911767986149382e-11, 1.000000000000000000e+00, -1.034167973819149329e-10, -9.424903019432182560e-01, 4.328736616053097184e-11, 3.319588410539397461e-01, -3.263091016800662822e-11, 9.992420334488003597e-01
2.902902902902902982e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -5.975112788918123578e-11, 1.000000000000000000e+00, -1.049619226035421782e-10, -9.707113218101449670e-01, 4.389123661012184034e-11, 2.360667305918559000e-01, -4.138955711930386704e-11, 9.990034892745504047e-01
3.003003003003003046e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -8.962793321206658845e-11, 1.000000000000000000e+00, -1.004315344189436796e-10, -9.894808676015942606e-01, 4.350819939168117503e-11, 1.378887427741061211e-01, -5.126675156595795699e-11, 9.990423878562046944e-01
3.103103103103103111e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.213937614704025960e-10, 1.000000000000000000e+00, -8.862702064884115157e-11, -9.985609504682770865e-01, 4.192088311950967348e-11, 3.836865816531032092e-02, -6.230978484714490802e-11, 9.992978163338072095e-01
3.203203203203203175e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.537007250680372031e-10, 1.000000000000000000e+00, -6.852025872269473120e-11, -9.977135815609040614e-01, 3.891191640790805911e-11, -6.154974266991186660e-02, -7.456594830204079470e-11, 9.996103048957725168e-01
3.303303303303303240e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.845851710898414468e-10, 1.000000000000000000e+00, -3.912572919973263474e-11, -9.868524034159253944e-01, 3.417021367765577136e-11, -1.610590237754524756e-01, -8.792838398776908581e-11, 9.999088334779776543e-01
3.403403403403403304e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.111093718433929783e-10, 1.000000000000000000e+00, 5.967672471639317209e-13, -9.663710724243618211e-01, 2.709766556527558986e-11, -2.594485941430028086e-01, -1.020824102452201546e-10, 1.000593135405891010e+00
3.503503503503503369e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.333110455417532009e-10, 1.000000000000000000e+00, 5.005023476740266436e-11, -9.355697509738767348e-01, 1.796410525317553826e-11, -3.546925778491035741e-01, -1.180156017842778919e-10, 1.000548641355613499e+00
3.603603603603603434e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.476265904220882022e-10, 1.000000000000000000e+00, 1.093931371865587009e-10, -8.951076955767123255e-01, 6.270706042994937161e-12, -4.460750795650603173e-01, -1.352250095452997571e-10, 1.000100376607081953e+00
